Ano,ID,Camada,Quadrado,Nivel,MateriaPrima,Classe,Morfologia Bordos,Cortex,Localizacao,Espessura,Largura,Comprimento,Talao,Presença Labial,Secção,Acabamento Distal,Perfil,Face dorsal,Padrão,Abrasão,Tipologia Bordeana,Observações
2009,2184,C,I16,6,Grauvaque,Lâmina-Mesial,Divergentes,Sem-Cortex,,20.79,72.85,52.87,Liso,Não,Irregular,Natural,Encurvado,4,Paralelo-Proximal,,,
2009,340,C,H17,2,Sílex,Lasca-Proximal,Paralelos,75-95%,Lateral,5.61,23.16,22.69,Liso,Não,Triangular,,Direito,1,Paralelo-Proximal,,,
2009,1349,C,H16,6,Sílex,Lasca,Paralelos,75-95%,Lateral,6.57,20.78,30.15,Linear,Não,Triangular,Natural,Encurvado,1,Paralelo-Proximal,,,
2009,2122,C,I17,6,Sílex,Lasca,Biconvexos,Sem-Cortex,,3.78,14.04,24.69,Liso,Não,Triangular,Natural,Direito,5,Radial,,,
2009,1250,C,I16,4,Sílex,Lasca,Circular,Sem-Cortex,,4.11,23.57,24.13,Liso,Não,Direita,Natural,Encurvado,,,,,
2009,777,C,H17,3,Sílex,Lasca,Irregulares,Sem-Cortex,,3.47,14.84,23.35,Diedro,Não,Triangular,Natural,Direito,2,Paralelo-Proximal,,,
2009,629,C,H18,3,Sílex,Lâmina,Paralelos,Sem-Cortex,,9.37,17.62,35.8,Liso,Não,Triangular,Natural,Encurvado,4,Bidireccional-Paralelo,,,
2009,1829,C,I16,5,Sílex,Lamela,Outro,Sem-Cortex,,2.45,10.49,29.11,Liso,Não,Triangular,Natural,Encurvado,3,Bidireccional-Paralelo,,,
2009,1992,C,I18,5,Sílex,Lâmina,Paralelos,Sem-Cortex,,6.99,14.65,38.18,Outro,Não,Trapezoidal,Natural,Direito,6,Bidireccional-Paralelo,,,
2009,168,C,G17,2,Sílex,Lasca,Divergentes,<25%,Lateral-Mesial,4.69,19.01,22.72,Linear,Não,Triangular,Natural,Direito,2,Não-Indentificável,,,
2009,1706,C,I16,5,Sílex,Lasca,Divergentes,Sem-Cortex,,2.2,11.81,20.79,Linear,Não,Triangular,Natural,Direito,3,Bidireccional-Paralelo,,,
2009,611,C,H17,3,Sílex,Lasca,Divergentes,Sem-Cortex,,8.17,39.52,22.09,Cortical,Não,Triangular,Natural,Direito,,Não-Indentificável,,,
2009,1938,C,I16,5,Sílex,Lasca-Proximal,Divergentes,<25%,Distal,5.33,19.34,16.29,Liso,Não,Trapezoidal,Natural,Torcido,3,Paralelo-Proximal,,,
2009,1771,C,I16,5,Sílex,Lasca-Adelgaçamento,Irregulares,<25%,Proximal,7.05,25.61,30.03,Liso,Não,Irregular,Natural,Encurvado,6,Não-Indentificável,,,
2009,1176,C,J16,2,Sílex,Lamela-Distal,Paralelos,Sem-Cortex,,2.65,6.3,,,,Triangular,Natural,Direito,2,Paralelo-Proximal,,,
2009,1663,C,I18,5,Sílex,Lasca-Proximal,Irregulares,25-75%,Mesial,11.75,35.49,,Liso,Não,Irregular,,Direito,4,Bidireccional-Paralelo,,,
2009,1772,C,I16,5,Sílex,Lasca,Irregulares,25-75%,Distal,10.16,28.39,39.21,Liso,Não,Irregular,Natural,Encurvado,3,Paralelo-Proximal,,,
2009,2194,C,J17,5,Grauvaque,Lasca,Divergentes,Sem-Cortex,,27.29,46.58,53.28,Cortical,Não,Trapezoidal,Natural,Encurvado,4,Paralelo-Proximal,,,
2009,2186,C,I16,6,Grauvaque,Lasca,Divergentes,<25%,Lateral,12.87,40.18,29.19,Cortical,Não,Triangular,Natural,Direito,2,Paralelo-Um-Lado,,,
2009,733,C,H18,3,Sílex,Lasca,Convergentes,<25%,Lateral-Distal,13.51,32.19,55.4,Liso,Não,Triangular,Natural,Irregular,2,Paralelo-Proximal,,,
2009,1626,C,K15,3,Sílex,Lâmina,Paralelos,Sem-Cortex,,3.69,13.57,27.95,Liso,Não,Trapezoidal,Natural,Direito,3,Paralelo-Proximal,,,
2009,154,C,I17,2,Sílex,Lasca-Distal,Irregulares,<25%,Lateral,2.1,18.03,,,,Triangular,Natural,Direito,1,Paralelo-Proximal,,,
2009,273,C,I18,2,Sílex,Lasca,Paralelos,<25%,Distal,5.6,26.62,38.43,Esmagado,Não,Triangular,Natural,Direito,4,Paralelo-Proximal,,R,
2009,1394,C,G17,6,Sílex,Lasca,Biconvexos,<25%,Lateral,5.76,17.17,24.35,Liso,Não,Triangular,Natural,Direito,1,Paralelo-Proximal,,,
2009,2034,C,I17,5,Quartzo,Lasca,Paralelos,<25%,Distal,16.8,27.81,41.88,Cortical,Não,Triangular,Natural,Direito,2,Paralelo-Proximal,,,
2009,389,C,G17,2,Grauvaque,Bigorna,,,,25.69,,,,,,,,,,,,
2009,283,C,H17,2,Sílex,Lasca-Proximal,Paralelos,Sem-Cortex,,2.91,15.13,,Liso,Não,Trapezoidal,,Direito,3,Paralelo-Proximal,,,
2009,2199,C,I18,6,Outra,Lâmina,Irregulares,75-95%,,10.05,38.2,86.22,Cortical,Não,Direita,Natural,Direito,2,Paralelo-Proximal,,R,
2009,123,C,H17,2,Sílex,Lasca,Divergentes,Total,,4.66,23.51,37.05,Liso,Não,Triangular,Natural,Direito,,,,,
2009,670,C,H17,3,Sílex,Lasca,Irregulares,25-75%,Lateral,4.62,26.93,19.98,Liso,Não,Triangular,Natural,Direito,2,Paralelo-Um-Lado,,,
2009,89,C,H17,2,Grauvaque,Lasca,Convergentes,Total,,9.47,44.48,39.29,Cortical,Não,Direita,Natural,Direito,,,,,
2009,2175,C,J17,5,Sílex,Lasca-Distal,Irregulares,<25%,Lateral-Proximal,7.75,24.6,,,,Triangular,Natural,Encurvado,,Não-Indentificável,,,
2009,1792,C,I16,5,Sílex,Lasca,Circular,25-75%,Lateral,3.73,26.18,25.2,Liso,Não,Triangular,Natural,Direito,3,Paralelo-Proximal,,,
